timestamp,scenario,detected,x,y,z,zone,motion_level,velocity,still_time,current_state,anomaly_detected,anomaly_score,anomaly_reason,fall_detected,fall_score,fall_reason,emergency_source
2026-05-29T05:40:00,empty_room,False,,,,,0.0,0.0,0,EMPTY,False,0.0,,False,0.0,,
2026-05-29T07:22:00,morning_toilet,True,0.0644,0.6597,1.0579,toilet,0.0592,0.2126,13,TOILET_USE,False,0.1027,,False,0.0,,
2026-05-29T07:23:00,morning_toilet,True,0.1306,0.6312,1.0475,toilet,0.0955,0.0269,57,TOILET_USE,False,0.0438,,False,0.0,,
2026-05-29T07:24:00,morning_toilet,True,0.1375,0.6913,1.0576,toilet,0.075,0.246,128,TOILET_USE,False,0.139,,False,0.0,,
2026-05-29T07:25:00,morning_toilet,True,0.0802,0.6769,1.0622,toilet,0.1361,0.1075,176,TOILET_USE,False,0.0258,,False,0.0,,
2026-05-29T07:26:00,morning_toilet,True,0.0728,0.7267,1.0883,toilet,0.0539,0.1395,255,TOILET_USE,False,0.0312,,False,0.0,,
2026-05-29T07:27:00,morning_toilet,True,0.1694,0.6367,1.0635,toilet,0.1057,0.244,310,TOILET_USE,False,0.1081,,False,0.0,,
2026-05-29T07:28:00,morning_toilet,True,0.1439,0.6329,1.0582,toilet,0.1387,0.2424,359,TOILET_USE,False,0.1573,,False,0.0,,
2026-05-29T07:34:00,morning_sink,True,-0.1748,0.5567,1.153,sink,0.1089,0.0894,1,ACTIVE,False,0.1692,,False,0.0,,
2026-05-29T07:35:00,morning_sink,True,-0.1546,0.5333,1.1537,sink,0.112,0.1402,73,ACTIVE,False,0.0559,,False,0.0,,
2026-05-29T07:36:00,morning_sink,True,-0.1258,0.5416,1.1576,sink,0.1659,0.2218,120,ACTIVE,False,0.0489,,False,0.0,,
2026-05-29T07:37:00,morning_sink,True,-0.2187,0.5028,1.1614,sink,0.1722,0.1675,176,ACTIVE,False,0.132,,False,0.0,,
2026-05-29T07:38:00,morning_sink,True,-0.1999,0.5219,1.2108,sink,0.1313,0.0889,250,ACTIVE,False,0.0519,,False,0.0,,
2026-05-29T07:39:00,morning_sink,True,-0.1636,0.4973,1.1868,sink,0.1425,0.1141,318,ACTIVE,False,0.1795,,False,0.0,,
2026-05-29T20:34:00,evening_bath,True,-0.2478,0.7583,1.0489,bath,0.1265,0.2259,0,ACTIVE,False,0.0818,,False,0.0,,
2026-05-29T20:35:00,evening_bath,True,-0.3037,0.7096,1.0597,bath,0.0926,0.1638,66,ACTIVE,False,0.1702,,False,0.0,,
2026-05-29T20:36:00,evening_bath,True,-0.2236,0.6749,1.0508,bath,0.094,0.1867,134,ACTIVE,False,0.029,,False,0.0,,
2026-05-29T20:37:00,evening_bath,True,-0.2555,0.719,1.0563,bath,0.1348,0.2727,198,ACTIVE,False,0.1395,,False,0.0,,
2026-05-29T20:38:00,evening_bath,True,-0.246,0.6738,1.03,bath,0.1275,0.1783,256,ACTIVE,False,0.036,,False,0.0,,
2026-05-29T20:39:00,evening_bath,True,-0.2129,0.7301,1.0423,bath,0.1527,0.1757,306,ACTIVE,False,0.0931,,False,0.0,,
2026-05-29T20:40:00,evening_bath,True,-0.2975,0.7072,1.0588,bath,0.0977,0.0351,375,ACTIVE,False,0.1593,,False,0.0,,
2026-05-29T20:41:00,evening_bath,True,-0.1889,0.6711,1.0189,bath,0.158,0.1585,412,ACTIVE,False,0.0314,,False,0.0,,
2026-05-29T20:42:00,evening_bath,True,-0.2262,0.7831,0.9932,bath,0.1485,0.13,486,ACTIVE,False,0.046,,False,0.0,,
2026-05-29T20:43:00,evening_bath,True,-0.2419,0.7549,0.9961,bath,0.1059,0.1946,539,ACTIVE,False,0.0735,,False,0.0,,
